merchant_id,avg_txn_value,failed_txns_last_7d,support_tickets_last_30d,csat_score,settlement_delay_avg,api_failure_rate,active_days_last_month,delight_score
MID_00000,4692.68,4,2,3.4,1.99,0.218,16,0.22
MID_00001,30101.21,3,4,4.4,2.21,0.185,18,0.374
MID_00002,13167.46,3,3,4.3,2.54,0.056,13,0.355
MID_00003,9129.43,4,3,4.8,0.95,0.145,14,0.322
MID_00004,1696.25,2,4,3.4,0.85,0.192,29,0.262
MID_00005,1695.96,2,4,4.4,1.48,0.111,26,0.316
MID_00006,598.39,4,2,3.7,1.49,0.249,29,0.245
MID_00007,20112.31,2,3,4.0,0.93,0.144,21,0.465
MID_00008,9190.82,3,2,3.9,0.36,0.282,23,0.383
MID_00009,12312.5,4,2,3.4,2.33,0.35,27,0.287
MID_00010,207.99,3,1,4.7,1.17,0.328,12,0.335
MID_00011,35035.57,4,2,3.6,1.87,0.09,29,0.446
MID_00012,17864.3,1,2,4.5,1.03,0.144,18,0.573
MID_00013,2386.88,3,3,5.0,1.15,0.298,16,0.294
MID_00014,2006.79,6,1,2.9,1.26,0.111,25,0.18
MID_00015,2026.11,3,2,3.7,1.2,0.031,18,0.322
MID_00016,3627.54,2,2,3.7,2.62,0.202,25,0.348
MID_00017,7439.28,2,1,2.9,1.23,0.151,20,0.407
MID_00018,5655.37,2,1,4.1,1.03,0.21,27,0.478
MID_00019,3442.23,2,3,4.6,1.89,0.141,15,0.344
MID_00020,9463.71,3,3,4.1,2.33,0.032,26,0.368
MID_00021,1502.35,1,3,3.7,2.41,0.268,28,0.329
MID_00022,3455.16,1,1,3.8,2.11,0.381,17,0.4
MID_00023,4562.77,4,3,3.6,1.6,0.474,22,0.157
MID_00024,6089.35,2,1,3.5,1.62,0.084,24,0.45
MID_00025,15379.36,4,2,5.0,2.76,0.222,14,0.376
MID_00026,2227.36,5,1,4.5,1.39,0.262,25,0.295
MID_00027,7220.29,6,5,3.8,1.51,0.052,28,0.1
MID_00028,8975.05,2,2,2.6,1.93,0.266,25,0.332
MID_00029,475.64,0,0,4.2,0.93,0.387,10,0.494
MID_00030,9353.33,3,1,4.3,2.33,0.289,19,0.404
MID_00031,1869.61,3,0,3.3,2.22,0.11,11,0.337
MID_00032,672.64,2,5,4.8,1.65,0.062,10,0.233
MID_00033,29736.88,5,1,4.2,0.68,0.222,25,0.458
MID_00034,33706.3,3,1,4.5,1.24,0.449,15,0.492
MID_00035,16523.32,1,2,4.8,0.85,0.173,12,0.562
MID_00036,3632.88,2,6,4.8,1.86,0.187,18,0.209
MID_00037,1027.77,1,2,3.7,1.78,0.123,13,0.365
MID_00038,11527.51,6,2,4.0,1.69,0.151,11,0.217
MID_00039,5800.91,3,1,3.6,0.78,0.265,14,0.351
MID_00040,1301.52,5,5,4.1,1.12,0.096,26,0.104
MID_00041,6835.47,5,4,3.5,1.76,0.183,22,0.127
MID_00042,349.94,6,1,4.4,1.84,0.159,28,0.242
MID_00043,24004.23,5,0,5.0,2.35,0.156,16,0.492
MID_00044,2994.58,1,2,4.2,1.17,0.166,27,0.465
MID_00045,10862.56,1,5,4.6,0.53,0.226,24,0.399
